N	P	Laufzeit_ms
921600000	1	126967
921600000	2	65699
921600000	4	33256
921600000	8	16731
921600000	16	8811
921600000	32	4773
921600000	64	3130
921600000	128	2470
921600000	256	2350
921600000	512	2644
921600000	1024	3439
