[15:14:30] Messen mit P=1 ...[INFO] Mi 02.07.2025 15:14:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:14:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:14:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:15:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:16:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:17:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:18:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:19:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:20:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:21:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:00 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:10 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:20 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:30 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:40 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:22:50 CEST → Läuft noch: N=921600000, P=1
[INFO] Mi 02.07.2025 15:23:00 CEST → Läuft noch: N=921600000, P=1
